id,syllabus,cluster,topic,skill,marks,tier,figureRequired,question,context,figure_description,figure_caption,notes
"prelim_sch5_p1_q4c","O-Elective | O-Pure","Tectonics","Volcanic Hazards — Stratovolcano Identification","Explain","3","paid","False","Using Fig. 4.2, explain the type of volcano that Anak Krakatoa is likely to be from its eruption.","Study Fig. 4.2, which shows Anak Krakatoa erupting in 2018. Anak Krakatoa is a volcanic island in Indonesia.","Fig. 4.2 — Photograph of Anak Krakatoa erupting in 2018, taken from sea level. Steep, symmetrical conical island rising from the sea. Slopes covered in grey ash and bare rock with no vegetation. Tall column of grey ash and white/grey smoke erupts vertically from the summit into a clear blue sky. Explosive ash-producing eruption rather than flowing lava.","Identify features of a stratovolcano: steep-sided cone, explosive ash column (indicating viscous, silica-rich magma), ash-covered grey slopes. Contrast with a shield volcano (broad, gentle slopes; fluid lava). Explain that explosive eruption indicates high-viscosity magma that traps gases until pressure forces a violent eruption.",""
"prelim_sch5_p1_q4d","O-Elective | O-Pure","Tectonics","Volcanic Landforms — Stratovolcano Shape","Explain","4","paid","False","With reference to Fig. 4.3, explain the shape and characteristics of Anak Krakatoa.","Study Fig. 4.3, which is a sketch of Anak Krakatoa.","Fig. 4.3 — Topographic sketch map of Anak Krakatoa. Key: contours at 50m intervals (100m and 200m contours visible); rock face; crater (solid black dot near summit); lava flow; forest; beach. North arrow present. Map not to scale. Features: beaches on coastal periphery; forested areas on lower slopes; bare rock face on steeper flanks; lava flow extending from near the crater toward the coast; single crater near summit. Closely spaced contours near summit indicate steep slopes; wider spacing on lower flanks.","Use contours to describe the steep conical shape (closely-spaced = steep slopes). Note the single crater near the summit. Identify features from past volcanic activity: lava flows, bare rock faces. Use the 100m and 200m contours to support description of height and slope angle.",""
"prelim_sch5_p1_q4e","O-Elective | O-Pure","Tectonics","Earthquake Hazards — Soil Liquefaction","Explain","2","paid","False","Explain how soil liquefaction affects either the natural or human system.","Earthquakes affect the natural and human systems through hazards like soil liquefaction.","","",""
"prelim_sch5_p1_q4f","O-Elective | O-Pure","Tectonics","Tectonic Disaster Risk — Vulnerable Conditions or Exposure","Explain","2","paid","False","Explain how the extent of tectonic disaster risk experienced in a place can be determined by either vulnerable conditions or exposure.","The extent of tectonic disaster risk experienced in a place is determined by factors like vulnerable conditions or exposure.","","",""
"prelim_sch7_p1_q1a","N-Elective","Geography in Everyday Life","Spatial Hierarchy in Singapore Towns","Describe","3","paid","False","Study Fig. 1.1, which shows a spatial hierarchy found in Singapore. Describe the characteristics of each level of the hierarchy shown in Fig. 1.1.","","Fig. 1.1 — Spatial hierarchy diagram showing three levels with labelled drawings. (1) Residential Unit: a single low-rise house/flat unit. (2) Precinct: a cluster of two HDB-style apartment blocks side by side. (3) Neighbourhood: represented as a larger area boundary. A fourth bird's-eye sketch shows a town with a lake, community garden, and two bus stops, suggesting the broader town level.","Focus on what makes each level distinct — the scale, number of units, and types of facilities or spaces associated with each level of the hierarchy.",""
"prelim_sch7_p1_q1bii","N-Elective","Geography in Everyday Life","Town Planning in Singapore","Explain","4","paid","False","Using the information below, explain how town planning is carried out in Singapore.

Facilities in a new Singapore town: Park — large green space with trees, playground and a fitness area. Integrated sports hub — a sports centre with public swimming pool, table tennis tables and badminton court. Bus stop — spread out at regular intervals so there is a bus stop near every apartment block. Covered linkway — located near each other, across different blocks for greater accessibility.","","","",""
"prelim_sch7_p1_q1c","N-Elective","Geography in Everyday Life","Environmental Stewardship and Sustainable Neighbourhoods","Explain","4","paid","False","Explain how environmental stewardship can help to build sustainable neighbourhoods.","","","",""
"prelim_sch7_p1_q1dii","N-Elective","Geography in Everyday Life","Geographical Investigation — Data Comparison","Compare","2","paid","False","Using the data below, contrast the level of satisfaction which residents have towards education facilities in Neighbourhood ABC and Neighbourhood XYZ.

Neighbourhood ABC satisfaction with education facilities: Extremely Dissatisfied 1, Dissatisfied 1, Satisfied 9, Extremely Satisfied 9. Neighbourhood XYZ satisfaction with education facilities: Extremely Dissatisfied 8, Dissatisfied 8, Satisfied 2, Extremely Satisfied 2.","Students surveyed the first 20 people they saw at the entrance of each neighbourhood on a Saturday evening.","","",""
"prelim_sch7_p1_q1diii","N-Elective","Geography in Everyday Life","Geographical Investigation — Explaining Relationships","Explain","4","paid","False","Using the data below, explain the relationship between the overall level of satisfaction towards one's neighbourhood and the facilities present in the neighbourhood.

Overall satisfaction: Neighbourhood ABC — Extremely Dissatisfied 3, Dissatisfied 3, Satisfied 6, Extremely Satisfied 8. Neighbourhood XYZ — Extremely Dissatisfied 7, Dissatisfied 8, Satisfied 3, Extremely Satisfied 2.

Neighbourhood ABC mean satisfaction by facility: Healthcare 1/5/6/8, Eating areas 2/4/7/7, Recreation 2/7/6/5, Retail 5/9/4/2, Education 1/1/9/9. Mean: 2.2/5.2/6.4/6.2.

Neighbourhood XYZ mean satisfaction by facility: Healthcare 1/2/9/8, Eating areas 6/7/3/4, Recreation 3/4/6/7, Retail 8/9/2/1, Education 8/8/2/2. Mean: 5.2/6.0/4.4/4.4.

(Columns: Extremely Dissatisfied / Dissatisfied / Satisfied / Extremely Satisfied)","Students surveyed the first 20 people they saw at the entrance of each neighbourhood on a Saturday evening.","","",""
"prelim_sch7_p1_q1div","N-Elective","Geography in Everyday Life","Geographical Investigation — Evaluating Data Collection","Evaluate","4","paid","False","Evaluate the ease of data collection and the reliability of the data used in this investigation.","20 students investigated resident satisfaction in two neighbourhoods, dividing into two groups of 10. Each group stood at the entrance of their neighbourhood and surveyed the first 20 people they saw on a Saturday evening. The hypothesis was: 'The level of satisfaction of residents in a neighbourhood is affected by the facilities present in a neighbourhood.' Sampling method used: convenience sampling.","","",""
"prelim_sch7_p1_q2b","N-Elective","Tectonics","Earthquakes — Epicentre Distance and Deaths","Describe","4","paid","False","Study Fig. 2.2, which shows the relationship between the distance from the epicentre and number of deaths from earthquakes in Japan. Using Fig. 2.2, describe and explain the relationship between the distance of epicentre of earthquakes and the number of deaths caused.","","Fig. 2.2 — Scatter graph 'Relationship between Distance from Epicentre and Number of Deaths.' Y-axis: Distance from Epicentre (km), 0–60 km. X-axis: Number of Deaths (thousands), 0–70. Data points: at 0 km ~55,000 deaths; at 5 km ~20,000; at 10 km ~45,000; at 20 km ~35,000; at 30 km ~25,000; at 40 km ~15,000; at 50 km ~10,000; at 60 km ~5,000. General negative relationship (as distance increases, deaths decrease) with one anomaly at 5 km (lower than expected).","Identify the overall trend, support with specific data values, explain why the trend occurs geographically, and note the anomaly at 5 km.",""
"prelim_sch7_p1_q2c","N-Elective","Tectonics","Earthquakes — Soil Liquefaction Impacts","Explain","3","paid","False","Using a named example, explain how soil liquefaction due to earthquakes can affect natural and human systems.","","","",""
"prelim_sch7_p1_q2d","N-Elective","Tectonics","Earthquakes — Nature of Hazard and Disaster Risk","Explain","4","paid","False","Explain how the disaster risks caused by earthquakes can be influenced by the nature of the hazard.","","","",""
"prelim_sch7_p1_q2e","N-Elective","Tectonics","Volcanoes — Social and Economic Consequences","Explain","5","paid","False","Study Fig. 2.3, which shows information about the hazards caused by volcanic eruptions. Using Fig. 2.3, explain how volcanoes can cause social and economic consequences at an individual and national scale.","","Fig. 2.3 — Composite image 'Hazards of Volcanic Eruptions.' Central cross-section diagram of a volcano labelling: Prevailing Wind, Eruption Cloud, Tephra (Ash) Fall, Acid Rain, Bombs, Landslide, Pyroclastic Flow, Dome Collapse, Lava Flow, and Lahar. Four accompanying photographs: (1) Ash cloud from Eyjafjallajokull eruption, Iceland 2010. (2) Road flanked by devastated vegetation with smoke — pyroclastic flows from Mount Merapi, Indonesia claimed at least 122 lives (2018). (3) Aerial view of Armero, Colombia, totally destroyed by lahars from Nevado del Ruiz volcano (1985). (4) Person near lava flow burning through a suburban road — Kalpana, Hawaii, 100 houses destroyed by lava flow (1990).","Use the photographs and hazard labels to identify specific volcanic hazards. Link each to both a social consequence (lives, homes, wellbeing) and an economic consequence (finances, livelihoods, national costs). Distinguish between individual and national scales.",""
"prelim_sch7_p1_q2f","N-Elective","Tectonics","Disaster Risk Reduction — Monitoring and Warning Systems","Evaluate","6","paid","False","'Strengthening community resilience by developing monitoring and warning systems is the most effective way to reduce a country's disaster risk.' To what extent do you agree with this statement? Explain your answer with relevant examples.","","","",""
"prelim_sch3_p1_q1aii","O-Elective | O-Pure","Geography in Everyday Life","Sustainability of Urban Neighbourhoods","Explain","3","paid","True","Using Fig. 1.1, explain how this neighbourhood achieved economic sustainability.","Study Fig. 1.1, which shows a map of a neighbourhood in Toa Payoh.","Fig. 1.1 — Aerial/street map (OneMap) of a bounded neighbourhood in Toa Payoh, Singapore. Red outline demarcates the neighbourhood boundary. Within the boundary: HDB residential blocks (numbered 190s–240s, Toa Payoh Spring and Toa Payoh North estates); Masjid (mosque) and Singapore Islamic Hub/Madrasah cluster near Braddell Road; Beatty Secondary School; two 'Mkt & Hawker Ctr' labels on western and eastern edges; 'News Ctr' on north-west; bus-stop icons distributed around the boundary; Braddell Road along the north. Scale bar: 0–100m. Mix of residential, educational, religious, commercial, and civic facilities all within walking distance.","Identify the mix and distribution of services and commercial facilities within the neighbourhood boundary and consider how their presence supports economic activity and self-sufficiency for residents.",""
"prelim_sch3_p1_q1b","O-Elective | O-Pure","Geography in Everyday Life","Community Resilience","Describe","4","paid","False","Describe how community resilience can be developed.","","","",""
"prelim_sch3_p1_q1ci","O-Elective | O-Pure","Geography in Everyday Life","Geographical Investigation — Hypothesis Evaluation","Evaluate","3","paid","True","Using Figs. 1.2 and 1.3, evaluate how well the data supports the hypothesis: ""Services located in Toa Payoh Central attract users from further distances compared to services located in a typical Toa Payoh precinct.""","Students tested the hypothesis by interviewing 10 customers each at a bakery in Toa Payoh Central and a bakery in Toa Payoh Bloom precinct (3–4pm). Customers' postal codes were collected and residences plotted on flow line maps.","Fig. 1.2 — Flow line map showing residences of 10 customers from the Toa Payoh Central bakery. Lines radiate from the bakery across a wide area of Toa Payoh and beyond; two lines are annotated 'Out of map range,' indicating customers living well outside the immediate area. Flow lines span multiple residential estates. Fig. 1.3 — Flow line map showing residences of 10 customers from the Toa Payoh Bloom precinct bakery. Flow lines are clustered tightly within the local precinct area; two also marked 'Out of map range' but appear to extend only slightly beyond the map edge. The cluster of flow lines is noticeably shorter and more concentrated than in Fig. 1.2.","Compare the length and spread of flow lines in both maps. Argue whether the pattern supports or contradicts the hypothesis, and note limitations in what two maps of 10 customers each can tell you.",""
"prelim_sch3_p1_q2a","O-Elective | O-Pure","Tourism","Tourist Arrivals — Trends and Patterns","Compare","3","paid","False","Using Fig. 2.1, compare visitor arrivals from China and Southeast Asia to Taiwan from 2009 to 2018.","Study Fig. 2.1, which shows the number of visitor arrivals in Taiwan from 2009 to 2018.","Fig. 2.1 — Line graph 'Number of visitor arrivals in Taiwan 2009–2018.' Y-axis: Million people, 0–4.5. X-axis: 2009–2018. Four lines: China (blue) — starts ~1.0m (2009), rises steeply to peak ~4.0m (2015), then falls sharply to ~2.7m (2018). Southeast Asia (grey) — starts ~0.7m (2009), grows steadily to ~2.4m (2018), overtaking China in 2017–2018. Japan and South Korea (orange) — starts ~1.5m (2009), grows to ~3.0m (2018). Rest of world (gold) — starts ~1.5m (2009), grows to ~3.0m (2018).","Compare starting values, peak values, trends (increasing/decreasing/fluctuating), and relative positions of the China and Southeast Asia lines across the full 2009–2018 period.",""
"prelim_sch3_p1_q2b","O-Elective | O-Pure","Tourism","Impacts of Tourism","Explain","3","paid","False","With reference to Fig. 2.2, explain the possible impacts of tourism in Taipei.","Study Fig. 2.2, which shows the popular Shilin night market in Taipei, a city in Taiwan.","Fig. 2.2 — Night photograph of Shilin Night Market, Taipei. Dense, narrow street packed with large numbers of people (tourists and locals). Both sides lined with brightly lit stalls and shops selling food and goods; Chinese-character signage and brand billboards (Sony Ericsson, Vodafone, ASUS, Motorola) visible. Foreground stalls display food items. Very large crowd filling the full width of the street. Scene suggests high footfall, vibrant commercial activity, and a culturally distinctive atmosphere.","Use visible evidence — crowd density, commercial activity, types of businesses, signage — to infer both positive impacts (economic activity, cultural showcase) and negative impacts (overcrowding, noise, commercialisation) that high tourist volumes bring.",""
"prelim_sch3_p1_q2c","O-Elective | O-Pure","Tourism","Types of Tourists — Niche Tourism","Explain","3","paid","False","Using Fig. 2.3, explain the type of tourists this itinerary would attract.","Study Fig. 2.3, which shows a 4-day Greenland itinerary.","Fig. 2.3 — 4-day Greenland itinerary (source: blueiceexplorer.gl). Day 1: Arrive in remote Narsarsuaq settlement. Day 2: Boat to Itilleq; 4 km hike along 'King's Road' to Igaliku with fjord and mountain views. Day 3: Explore Norse ruins at Gardar; optional challenging hikes including 17 km route to Lake 90 for glacier/iceberg views, 15 km Waterfall Tour, and climb of Nuuluk peak (823 m); opportunities to find rock crystals and moonstone. Day 4: Visit Qassiarsuk (Erik the Red's 982 AD settlement), Brattahlid ruins and museum; glacier/iceberg boat trip to Qooroq Isfjord — enjoy a drink with ice over 1,000 years old in remote Arctic waters. Photos show glacier calving into a fjord and an Arctic stone cairn landscape.","Consider what the activities (long challenging hikes, remote locations, historical/natural interest), remoteness, and cultural elements reveal about the fitness level, motivations, and tourist type this itinerary attracts.",""
"prelim_sch3_p1_q2d","O-Elective | O-Pure","Tourism","Sustainable Tourism — Stakeholder Roles","Evaluate","9","paid","False","'The government is the most important stakeholder in influencing sustainable tourism.' How far do you agree? Give evidence to support your answer.","","","",""
"prelim_sch3_p1_q3a","O-Elective | O-Pure","Climate","Relative Humidity and Temperature Relationship","Describe","3","paid","False","Using Fig. 3.1, describe the relationship between relative humidity and air temperature.","Study Fig. 3.1, which shows a dual-axis line graph of relative humidity and air temperature recorded over a 24-hour period.","Fig. 3.1 — Dual-axis line graph over 24 hours (12 Midnight to 12 Midnight). Left Y-axis: Relative Humidity (%), 40–80%. Right Y-axis: Air Temperature (°C), −4 to 16°C. Relative humidity (solid line): starts ~73% at midnight, decreases to trough ~46% at noon, rises to ~61% by midnight. Air temperature (dashed line): starts ~3°C at midnight, peaks ~11°C at noon, falls to ~6°C by midnight. Clear inverse relationship — as temperature rises through the morning, humidity falls; as temperature falls in the evening, humidity rises.","Describe the pattern of each variable across 24 hours and identify the inverse relationship. Note where the relationship is strongest and quote specific data values.",""
"prelim_sch3_p1_q3b","O-Elective | O-Pure","Climate","Local Winds — Land and Sea Breezes","Explain","4","paid","False","With reference to Fig. 3.2, explain how a land breeze occurs.","Study Fig. 3.2, which shows the movement of air at a coastal area.","Fig. 3.2 — Coastal cross-section diagram at night (crescent moon symbol). Land on left (labelled 'land cooler'), sea on right (labelled 'sea warmer'). Blue arrow labelled 'cool land breeze' flows from land rightward toward the sea at surface level. Orange curved arrow labelled 'warm air' rises from the sea surface and arcs back over the land at altitude, completing the circulation cell. Trees, a house, and a valley on the land; a sailing boat on the sea.","Use all labels and arrows to explain the sequence: differential cooling of land vs sea at night → land becomes cooler and denser → high pressure over land, low pressure over sea → air flows from land to sea at surface as land breeze → warm air over sea rises and returns over land aloft completing the cell.",""
"prelim_sch3_p1_q3ci","O-Elective | O-Pure","Climate","Global Warming — Spatial Patterns of Temperature Change","Describe","4","paid","False","Using Fig. 3.3, describe the change in the Earth's surface temperature.","Study Fig. 3.3, which shows the degree to which the Earth's surface temperature in 2020 has changed relative to the average temperature between 1951 and 1980.","Fig. 3.3 — Global choropleth map of surface temperature anomaly in 2020 vs 1951–1980 baseline. Colour scale: dark blue = −4°C → blue = −1°C → white = 0°C → yellow = +0.5–1°C → orange = +1–2°C → red = +2–4°C → dark red = +4–7°C. Key patterns: Vast majority of Earth's surface is yellow-orange-red (warmer than baseline). Arctic and high northern latitudes (Greenland, Russia/Siberia, northern Canada) show darkest red (+4°C or more). Continental interiors in Northern Hemisphere show +2–4°C (orange-red). Tropical regions show moderate warming +0.5–2°C (yellow-orange). Small blue cooling patches: North Atlantic south of Greenland (possibly AMOC slowdown), parts of Southern Ocean. Oceans generally show less warming than land at similar latitudes.","Describe the overall global pattern, identify regions with greatest warming and any areas of cooling. Note differences between polar, mid-latitude, and tropical regions, and between land and ocean.",""
"prelim_sch3_p1_q3cii","O-Elective | O-Pure","Climate","Global Warming — Causes and Spatial Variation","Explain","4","paid","False","With reference to Fig. 3.3, suggest reasons for the change in the Earth's surface temperature.","Study Fig. 3.3, which shows the degree to which the Earth's surface temperature in 2020 has changed relative to the average temperature between 1951 and 1980.","Fig. 3.3 — Global temperature anomaly map 2020 vs 1951–1980 baseline (as described above). Most of Earth is warmer. Arctic shows +4°C or more warming. Small cooling patches in North Atlantic and Southern Ocean. Oceans show less warming than land.","Link spatial patterns to underlying causes: why polar regions warm fastest (Arctic amplification, ice-albedo feedback), why land warms more than ocean (land heats/cools faster), why some areas show cooling (AMOC slowdown in North Atlantic). Reference the enhanced greenhouse effect as the overarching driver.",""
"prelim_sch3_p1_q3d","O-Elective | O-Pure","Climate","Mitigation of Climate Change","Explain","3","paid","False","Explain how local governments and individuals can carry out mitigation strategies to reduce greenhouse gas emissions.","","","",""
"prelim_sch3_p1_q4ai","O-Elective | O-Pure","Tectonics","Landforms at Divergent Boundaries — Rift Valleys","Describe","3","paid","False","Using Fig. 4.1, describe the features of a rift valley.","Study Fig. 4.1, which shows a photograph of part of the East African Rift Valley.","Fig. 4.1 — Ground-level photograph of the East African Rift Valley. Wide, flat-bottomed valley floor with a shallow stream/river. Valley flanked on both sides by near-vertical or very steep rock walls rising dramatically high; walls expose layered sedimentary/volcanic rock strata in shades of tan, orange, and brown. Small human figures on the valley floor give scale — the walls appear many tens of metres high. Valley has a narrow opening at the top relative to its depth, visible as a strip of sky between cliff faces.","Use observable physical features — shape of valley floor, angle and height of walls, rock strata exposure — to describe what a rift valley looks like.",""
"prelim_sch3_p1_q4aii","O-Elective | O-Pure","Tectonics","Divergent Plate Boundaries — Rift Valley Formation","Explain","4","paid","False","Using Fig. 4.2, explain the formation of the rift valley formed in Africa.","Study Fig. 4.2, which shows the location of the East African Rift Valley.","Fig. 4.2 — Tectonic map of East Africa. Labels: African Plate (west/south), Arabian Plate (north-east) with black arrow pointing NE (diverging away from Africa). Gulf of Aden between Arabian Plate and Horn of Africa. Indian Ocean (south-east). Equator marked as dashed horizontal line. East African Rift shown as dotted lines running N–S through eastern Africa, bifurcating into: Western Rift Valley (Lakes Albert, Edward, Tanganyika) and Eastern Rift Valley (Lake Turkana and south). Volcano triangles along the rift including 'Erta Ale volcano' on the eastern branch. Lakes labelled: Albert, Victoria, Turkana, Edward, Tanganyika, Malawi. Legend: Plate Boundaries (solid red lines), East African Rift (dotted), Volcanoes (triangles). Black arrows show plates diverging.","Use plate names, movement arrows, and rift location to explain the tectonic process: diverging plates → tension fractures continental crust → faulting and subsidence of central blocks → rift valley forms. Reference convection currents in the mantle as the driving force.",""
"prelim_sch3_p1_q4aiii","O-Elective | O-Pure","Tectonics","Volcanic Characteristics at Divergent Boundaries","Explain","4","paid","False","Using Figs. 4.2 and 4.3, account for the characteristics of Erta Ale volcano.","Study Fig. 4.2, which shows the location of the East African Rift Valley and Erta Ale volcano. Study Fig. 4.3, which shows an aerial photograph of Erta Ale, a volcano in the East African Rift Valley.","Fig. 4.2 (tectonic map — as described above): Erta Ale labelled by a volcano triangle on the eastern branch of the East African Rift near the Horn of Africa/Gulf of Aden junction, at a divergent plate boundary. Fig. 4.3 — Aerial photograph of Erta Ale. Very broad, low, gently sloping shield volcano profile — wide and flat/dome-shaped rather than steep-sided. Summit area contains an active lava lake/caldera pit with a tall column of white volcanic gas/steam rising into blue sky. Surrounding landscape: arid, flat dark lava plain (solidified basaltic lava flows, dark grey/black) extending to the horizon. No significant vegetation. Crater rim clearly defined with active vent/lava lake pit visible as a deeper circular depression.","Link the physical appearance in Fig. 4.3 (broad shape, basaltic lava, active lava lake) to its tectonic setting in Fig. 4.2 (divergent boundary). Explain why divergent boundary volcanoes are shield-type: low-viscosity basaltic magma from mantle upwelling flows easily, building broad, gently sloping cones with effusive rather than explosive eruptions.",""
"prelim_sch3_p1_q4b","O-Elective | O-Pure","Tectonics","Earthquake Impacts — Factors Affecting Damage","Explain","4","paid","False","Using Fig. 4.4, suggest how the earthquake resulted in serious damage and heavy loss of lives in Nepal and the Himalayan region.","Study Fig. 4.4, which shows information on Nepal and the earthquake which happened in Kathmandu in 2015.","Fig. 4.4 — 2015 Nepal Earthquake damage map. Scale bar: 0–90 km. International boundaries with China (north) and India (south). Himalayan Mountains labelled to the north. Main epicentre: 7.8 magnitude, depth 15 km, 2015-04-25, near Gorkha/Nuwakot area NW of Kathmandu (marked with large double-ringed star). Multiple aftershock epicentres (magnitude 4–5, 5–6, and 6–7 scale) clustered nearby and eastward. Damage zones in colour: moderate (pale green), strong (yellow), very strong (orange), severe (dark orange/red), violent (darkest red). Violent/severe zones cover Kathmandu, Bhaktapur, Gorkha, Dhading, Sindhupalchok. Severe and very strong zones extend across much of central Nepal. Numerous named towns within the highest damage zones.","Use specific evidence — epicentre location relative to Kathmandu, magnitude (7.8), shallow depth (15 km), extent and colour of damage zones, number of aftershocks, and proximity to Himalayan terrain — to explain why the earthquake caused severe damage and loss of life.",""
"prelim_sch3_p1_q4c","O-Elective | O-Pure","Tectonics","Earthquake Disaster Response Strategies","Describe","3","paid","False","Describe strategies that can be used to respond to earthquake disasters.","","","",""
"prelim_sch2_p1_q1cii","O-Elective | O-Pure","Geography in Everyday Life","Geographical Investigation — Data Interpretation","Evaluate","3","paid","False","Using Table 1.1 and Fig. 1.4, evaluate the effectiveness of Silver Zones in increasing pedestrian safety for the elderly.","Students used a handheld speed camera to measure vehicle speeds at a Silver Zone on a Monday. Table 1.1 – Speed of oncoming vehicles: 8–9am: 25 vehicles at 30–40 km/h, 4 at 41–50, 1 at 51–60 (total 30); 12–1pm: 16 at 30–40, 2 at 41–50, 2 at 51–60 (total 20); 4–5pm: 11 at 30–40, 2 at 41–50, 2 at 51–60 (total 15).","Fig. 1.4 — Survey results from 20 elderly residents near the Silver Zone. Three questions: (1) Awareness of Silver Zone — 20 yes, 0 no. (2) Safety rating — 4 neutral, 12 safe, 4 very safe. (3) Change in accidents since Silver Zone introduced — 10 noticed a decrease, 7 no significant change, 0 noticed an increase, 3 don't know.","Use the survey data together with Table 1.1 speed data to argue whether Silver Zones are effective. Consider both evidence types and note any limitations in the data.",""
"prelim_sch2_p1_q2aii","O-Elective | O-Pure","Tourism","Tourist Arrivals — Trends and Patterns","Explain","3","paid","False","Using Fig. 2.1 and Table 2.1, account for the change in tourist arrivals to Taiwan from April to July.","Table 2.1 – Tourist arrivals to Taiwan in 2024: Jan 589,961; Feb 648,348; Mar 811,608; Apr 610,146 (7.4 magnitude earthquake); May 580,000; Jun 571,510; Jul 539,454; Aug 616,922; Sep 575,455 (5.3 magnitude earthquake); Oct 661,115; Nov 747,800; Dec 903,619.","Fig. 2.1 — Line graph 'Monthly Tourist Arrivals to Taiwan, 2024.' X-axis: months Jan–Dec. Y-axis: number of arrivals (approximately 500,000–950,000). The line rises from Jan (589,961) to a peak in March (811,608), then drops sharply in April (610,146) following a 7.4 magnitude earthquake, continues declining through May (580,000), June (571,510), and July (539,454) — the lowest point of the year — before recovering from August onward, reaching its highest point in December (903,619). A second dip is visible in September (575,455) coinciding with a 5.3 magnitude earthquake.","Describe the downward trend April–July, then use Table 2.1 to identify specific values and explain the causes — especially the April earthquake as a turning point.",""
"prelim_sch2_p1_q2b","O-Elective | O-Pure","Tourism","Tourism Development — Butler Model (Consolidation Stage)","Describe","2","paid","False","Describe two characteristics of tourist destination regions in the consolidation stage of the tourism development cycle.","","","",""
"prelim_sch2_p1_q2d","O-Elective | O-Pure","Tourism","Sustainable Tourism — Stakeholder Responsibility","Evaluate","9","paid","False","'Government plays the most important role in influencing sustainable tourism development.' How far do you agree with this statement? Explain your answer.","","","",""
"prelim_sch2_p1_q3c","O-Elective | O-Pure","Climate","Enhanced Greenhouse Effect — Deforestation","Explain","4","paid","False","Explain how deforestation contributes to the enhanced greenhouse effect.","","","",""
"prelim_sch2_p1_q3dii","O-Elective | O-Pure","Climate","Food Resilience and Climate Change","Explain","2","paid","False","Suggest two factors that influenced the change in crop yield for maize between 1981 and 2010.","","","",""
"prelim_sch2_p1_q3e","O-Elective | O-Pure","Climate","Climate Change — Impacts on Vulnerable Communities","Explain","3","paid","False","Explain why climate change affects disadvantaged communities and developing countries to a larger extent.","","","",""
"prelim_sch2_p1_q4c","O-Elective | O-Pure","Tectonics","Volcanic Eruptions — Stratovolcano Characteristics","Explain","3","paid","False","Explain why stratovolcanoes tend to have more explosive eruptions.","","","",""
"prelim_sch2_p1_q4d","O-Elective | O-Pure","Tectonics","Tectonic Disaster Risk — Vulnerable Conditions or Exposure","Explain","4","paid","False","Explain how vulnerable conditions can affect the extent of disaster risk during an earthquake.","","","",""
"prelim_sch4_p1_q1cii","O-Elective | O-Pure","Geography in Everyday Life","Geographical Investigation — Hypothesis Evaluation","Evaluate","3","paid","False","Using Table 1.1, evaluate how well the data supports the hypothesis: 'There is variation in the wellness of residents across different age groups.'","Table 1.1 – Wellness of Tampines residents by age group (% of respondents): Exercise at least twice a week: under 20: 90%, 20–39: 84%, 40–59: 58%, 60+: 13%. Eat a balanced diet: 22%, 74%, 87%, 14%. Sleep at least 8 hours a day: 98%, 78%, 97%, 96%. Screen time more than 3 hours per day: 94%, 83%, 33%, 11%.","","",""
"prelim_sch4_p1_q2aii","O-Elective | O-Pure","Tourism","Factors Contributing to Growth of Tourism","Describe","3","paid","False","Using Table 2.1 and Fig. 2.1, describe how income may affect the decision of tourists to revisit tourist destinations.","Table 2.1 – Number of survey respondents who indicated they may revisit tourist destinations, by income group: under $2,000: 5; $2,000–$3,999: 20; $4,000–$5,999: 28; $6,000–$7,999: 15; $8,000–$9,999: 40; over $10,000: 55.","Fig. 2.1 — Bar chart 'Number of Survey Respondents Likely to Revisit Tourist Destinations, by Monthly Income Group.' X-axis: income brackets (under $2,000 / $2,000–$3,999 / $4,000–$5,999 / $6,000–$7,999 / $8,000–$9,999 / over $10,000). Y-axis: number of respondents (0–60). Bar heights: 5, 20, 28, 15, 40, 55. General upward trend with higher income groups showing greater likelihood of revisiting, with a dip at $6,000–$7,999 (15) before rising steeply for the two highest brackets.","Describe the overall trend (higher income → more likely to revisit), note the anomaly at $6,000–$7,999, and use specific values from both Fig. 2.1 and Table 2.1 to support your description.",""
"prelim_sch4_p1_q2c","O-Elective | O-Pure","Tourism","Limitations of Ecotourism","Evaluate","9","paid","False","'Ecotourism is the most effective approach in achieving sustainable tourism development.' To what extent do you consider this statement to be true? Explain your answer.","","","",""
"prelim_sch4_p1_q3b","O-Elective | O-Pure","Climate","Climate Change — Sunspot Activity","Explain","3","paid","False","Explain how higher sunspot activity results in higher temperatures on Earth.","","","",""
"prelim_sch4_p1_q3c","O-Elective | O-Pure","Climate","Climate Change — Impact on Ecosystem Services","Explain","3","paid","False","Explain the impact of climate change on terrestrial ecosystems.","","","",""
"prelim_sch4_p1_q4a","O-Elective | O-Pure","Tectonics","Divergent Plate Boundaries — Rift Valley Formation","Explain","4","paid","False","Explain the processes which occur at a divergent plate boundary.","","","",""
"prelim_sch4_p1_q4d","O-Elective | O-Pure","Tectonics","Tectonic Disasters — Economic Impacts","Explain","3","paid","False","Explain how tectonic disasters can result in economic losses.","","","",""
"prelim_sch6_p1_q1aii","O-Elective | O-Pure","Geography in Everyday Life","Human Impact on Greenspace","Describe","2","paid","False","Describe how human activities can bring benefits to green spaces such as parks.","","","",""
"prelim_sch6_p1_q1bii","O-Elective | O-Pure","Geography in Everyday Life","Sustainability of Urban Neighbourhoods","Describe","1","paid","False","Describe one way in which buildings in urban neighbourhoods can be designed to be environmentally sustainable.","","","",""
